施設名称,緯度,経度,
体育会館前交番,34.662756,135.4994641,
阿倍野警察署,34.6379611,135.5099973,
井高野交番,34.7630059,135.5447473,
東淀川消防署柴島出張所,34.73063,135.51599,
東淀川消防署小松出張所,34.752,135.53979,
東淀川消防署西淡路出張所,34.73534928,135.5058683,
東淀川消防署豊里出張所,34.74572,135.53746,
東淀川消防署井高野出張所,34.75842,135.54315,
大淀警察署,34.7101609,135.495733,
曽根崎警察署,34.7016498,135.4997532,
天満警察署,34.6948163,135.5053755,
住吉警察署・杉本町駅前交番,34.594114,135.5029642,
住吉警察署・清水丘交番,34.602994,135.4937111,
住吉警察署・長居交番,34.6116451,135.5127718,
住吉警察署,34.6150999,135.491669,
住吉警察署・南住吉交番,34.60235,135.5020998,
住吉警察署・墨江交番,34.6094,135.4927443,
住吉警察署・万代交番,34.6173751,135.5044033,
住吉消防署万代出張所,34.61401619,135.5027936,
住之江消防署,34.60924148,135.47708,
住之江警察署,34.6091531,135.4689749,
中央消防署東雲出張所,34.67528508,135.5300296,
中央消防署南阪町出張所,34.66666027,135.5052768,
東淀川警察署,34.7417441,135.5338921,
中央消防署,34.68364,135.51379,
中央消防署上町出張所,34.67163963,135.5151564,
中央消防署道頓堀出張所,34.66886158,135.5007162,
安土町交番,34.6845441,135.5027917,
難波交番,34.6637139,135.5008722,
旭警察署,34.7225169,135.5387719,
此花消防署桜島出張所,34.6618864,135.4271956,
此花警察署,34.6817171,135.4507638,
此花消防署,34.68350269,135.45208,
港消防署,34.66815,135.45963,
東警察署,34.683244,135.5089577,
南警察署,34.6724498,135.505517,
千日前交番,34.6655892,135.5039997,
北浜交番,34.69204617,135.5026574,
平野町交番,34.68486545,135.5094939,
北久宝寺町交番,34.6798529,135.5033388,
南久宝寺町交番,34.6790558,135.5105862,
天満橋交番,34.690125,135.5160111,
南大江交番,34.680281,135.5168169,
上町交番,34.67789221,135.5262118,
城見交番,34.6918139,135.5312557,
西心斎橋交番,34.671967,135.4980473,
道頓堀交番,34.669328,135.5032923,
長堀交番,34.674869,135.5093438,
戎橋交番,34.6688999,135.501044,
高津交番,34.6665308,135.5103221,
東平交番,34.668242,135.5184938,
