"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"体育会館前交番","大阪市浪速区難波中3-4-39","たいいくかいかんまえこうばん","警察・消防","交番","","","","","","","","135.4994641","34.6627560000004","交番"
"阿倍野警察署","大阪市阿倍野区阿倍野筋5-13-5","あべのけいさつしょ","警察・消防","警察署","06-6653-1234","06-6658-3913","http://www.police.pref.osaka.jp/04shikumi/ps/121abeno_1.html","","","(防犯・交通安全等","","135.5099973","34.6379611000003","警察署"
"井高野交番","大阪市東淀川区井高野1-28-21","いたかのこうばん","警察・消防","交番","","","https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000328.html","","","","","135.5447473","34.7630059000003","交番"
"東淀川消防署柴島出張所","大阪市東淀川区柴島3-10-21","ひがしよどがわしょうぼうしょ　くにじましゅっちょうしょ","警察・消防","消防施設","06-6323-0119","06-6323-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.51599","34.7306300000003","消防施設"
"東淀川消防署小松出張所","大阪市東淀川区小松3-3-11","ひがしよどがわしょうぼうしょ　こまつしゅっちょうしょ","警察・消防","消防施設","06-6325-0119","06-6325-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.53979","34.7520000000003","消防施設"
"東淀川消防署西淡路出張所","大阪市東淀川区西淡路2-5-5","ひがしよどがわしょうぼうしょ　にしあわじしゅっちょうしょ","警察・消防","消防施設","06-6321-0119","06-6321-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5058683","34.7353492800003","消防施設"
"東淀川消防署豊里出張所","大阪市東淀川区豊新5-10-3","ひがしよどがわしょうぼうしょ　とよさとしゅっちょうしょ","警察・消防","消防施設","06-6328-0119","06-6328-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.53746","34.7457200000003","消防施設"
"東淀川消防署井高野出張所","大阪市東淀川区北江口1-2-10","ひがしよどがわしょうぼうしょ　いたかのしゅっちょうしょ","警察・消防","消防施設","06-6349-0119","06-6349-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.54315","34.7584200000003","消防施設"
"大淀警察署","大阪市北区中津1-5-25","おおよどけいさつしょ","警察・消防","警察署","06-6376-1234","","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/4/6413.html","","","(防犯・交通安全等","","135.495733000001","34.7101609000004","警察署"
"曽根崎警察署","大阪市北区曽根崎2-16-14","そねざきけいさつしょ","警察・消防","警察署","06-6315-1234","","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/4/6412.html","","","(防犯・交通安全等","","135.4997532","34.7016498000004","警察署"
"天満警察署","大阪市北区西天満1-12-12","てんまけいさつしょ","警察・消防","警察署","06-6363-1234","","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/4/6411.html","","","(防犯・交通安全等","","135.5053755","34.6948163000003","警察署"
"住吉警察署・杉本町駅前交番","大阪市住吉区杉本3丁目2番79号","すみよしけいさつしょ・すぎもとちょうえきまえこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005088.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.5029642","34.5941140000004","交番"
"住吉警察署・清水丘交番","大阪市住吉区清水丘2丁目2番18号","すみよしけいさつしょ・しみずがおかこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005087.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.493711100001","34.6029940000004","交番"
"住吉警察署・長居交番","大阪市住吉区長居3丁目1番1号","すみよしけいさつしょ・ながいこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005073.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.5127718","34.6116451000003","交番"
"住吉警察署","大阪市住吉区東粉浜3丁目28番3号","すみよしけいさつしょ","警察・消防","警察署","06-6675-1234","","http://www.info.police.pref.osaka.jp/ps/sumiyoshi/index.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/4/6391.html","","","","135.491669000001","34.6150999000004","警察署"
"住吉警察署・南住吉交番","大阪市住吉区南住吉4丁目9番26号","すみよしけいさつしょ・みなみすみよしこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005084.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.5020998","34.6023500000004","交番"
"住吉警察署・墨江交番","大阪市住吉区墨江1丁目7番18号","すみよしけいさつしょ・すみえこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005086.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.492744300001","34.6094000000004","交番"
"住吉警察署・万代交番","大阪市住吉区万代東3丁目1番65号","すみよしけいさつしょ・ばんだいこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005085.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.5044033","34.6173751000003","交番"
"住吉消防署万代出張所","大阪市住吉区万代東4-1-23","すみよししょうぼうしょ　まんだいしゅっちょうしょ","警察・消防","消防施設","06-6693-0119","06-6693-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5027936","34.6140161900003","消防施設"
"住之江消防署","大阪市住之江区御崎4-11-6","すみのえしょうぼうしょ","警察・消防","消防施設","06-6685-0119","06-6685-8120","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.477080000001","34.6092414800004","消防施設"
